"price","timestamp"
2769,"2023-03-27T19:00:00"
2775,"2023-03-27T20:00:00"
2785,"2023-03-27T21:00:00"
2800,"2023-03-27T22:00:00"
2817,"2023-03-27T23:00:00"
2808,"2023-03-28T00:00:00"
2827,"2023-03-28T01:00:00"
2811,"2023-03-28T02:00:00"
2849,"2023-03-28T03:00:00"
2887,"2023-03-28T04:00:00"
2864,"2023-03-28T05:00:00"
2848,"2023-03-28T06:00:00"
2861,"2023-03-28T07:00:00"
2869,"2023-03-28T08:00:00"
2881,"2023-03-28T09:00:00"
2899,"2023-03-28T10:00:00"
2876,"2023-03-28T11:00:00"
2856,"2023-03-28T12:00:00"
2852,"2023-03-28T13:00:00"
2858,"2023-03-28T14:00:00"
2873,"2023-03-28T15:00:00"
2891,"2023-03-28T16:00:00"
2916,"2023-03-28T17:00:00"
2934,"2023-03-28T18:00:00"
2932,"2023-03-28T19:00:00"
2914,"2023-03-28T20:00:00"
2957,"2023-03-28T21:00:00"
2963,"2023-03-28T22:00:00"
2965,"2023-03-28T23:00:00"
2956,"2023-03-29T00:00:00"
2962,"2023-03-29T01:00:00"
2967,"2023-03-29T02:00:00"
2985,"2023-03-29T03:00:00"
2993,"2023-03-29T04:00:00"
2992,"2023-03-29T05:00:00"
2990,"2023-03-29T06:00:00"
2994,"2023-03-29T07:00:00"
2992,"2023-03-29T08:00:00"
2990,"2023-03-29T09:00:00"
2969,"2023-03-29T10:00:00"
2963,"2023-03-29T11:00:00"
2961,"2023-03-29T12:00:00"
2983,"2023-03-29T13:00:00"
2993,"2023-03-29T14:00:00"
2989,"2023-03-29T15:00:00"
2996,"2023-03-29T16:00:00"
2995,"2023-03-29T17:00:00"
3002,"2023-03-29T18:00:00"
3067,"2023-03-29T19:00:00"
3042,"2023-03-29T20:00:00"
3055,"2023-03-29T21:00:00"
3083,"2023-03-29T22:00:00"
3110,"2023-03-29T23:00:00"
3109,"2023-03-30T00:00:00"
3090,"2023-03-30T01:00:00"
3090,"2023-03-30T02:00:00"
3085,"2023-03-30T03:00:00"
3092,"2023-03-30T04:00:00"
3109,"2023-03-30T05:00:00"
3171,"2023-03-30T06:00:00"
3174,"2023-03-30T07:00:00"
3123,"2023-03-30T08:00:00"
3073,"2023-03-30T09:00:00"
3120,"2023-03-30T10:00:00"
3086,"2023-03-30T11:00:00"
3090,"2023-03-30T12:00:00"
3095,"2023-03-30T13:00:00"
3115,"2023-03-30T14:00:00"
3131,"2023-03-30T15:00:00"
3159,"2023-03-30T16:00:00"
3177,"2023-03-30T17:00:00"
3204,"2023-03-30T18:00:00"
3240,"2023-03-30T19:00:00"
3260,"2023-03-30T20:00:00"
3260,"2023-03-30T21:00:00"
3292,"2023-03-30T22:00:00"
3307,"2023-03-30T23:00:00"
3210,"2023-03-31T00:00:00"
3217,"2023-03-31T01:00:00"
3218,"2023-03-31T02:00:00"
3254,"2023-03-31T03:00:00"
3268,"2023-03-31T04:00:00"
3265,"2023-03-31T05:00:00"
3248,"2023-03-31T06:00:00"
3218,"2023-03-31T07:00:00"
3243,"2023-03-31T08:00:00"
3262,"2023-03-31T09:00:00"
3254,"2023-03-31T10:00:00"
3247,"2023-03-31T11:00:00"
3239,"2023-03-31T12:00:00"
3233,"2023-03-31T13:00:00"
3219,"2023-03-31T14:00:00"
3216,"2023-03-31T15:00:00"
3218,"2023-03-31T16:00:00"
3226,"2023-03-31T17:00:00"
3241,"2023-03-31T18:00:00"
3245,"2023-03-31T19:00:00"
3254,"2023-03-31T20:00:00"
3281,"2023-03-31T21:00:00"
3263,"2023-03-31T22:00:00"
3239,"2023-03-31T23:00:00"
3230,"2023-04-01T00:00:00"
3204,"2023-04-01T01:00:00"
3176,"2023-04-01T02:00:00"
